timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2025-03-11 22:00:00,0.16655,0.16764,0.16621,0.16713,20549445.0,2025-03-11 22:59:59.999,3431879.03472000,26160,10342122.00000000,1727330.49623000,0
2025-03-11 23:00:00,0.16714,0.16735,0.16395,0.16454,40673758.0,2025-03-11 23:59:59.999,6722151.04642000,34570,19734854.00000000,3261614.32534000,0
2025-03-12 00:00:00,0.16453,0.16566,0.1631,0.16394,38992662.0,2025-03-12 00:59:59.999,6411507.58050000,42019,19228577.00000000,3162634.29318000,0
2025-03-12 01:00:00,0.16395,0.16839,0.16368,0.16651,46570650.0,2025-03-12 01:59:59.999,7733785.83458000,47688,25057523.00000000,4161535.08762000,0
2025-03-12 02:00:00,0.16651,0.16666,0.16281,0.16342,42839211.0,2025-03-12 02:59:59.999,7056886.53658000,51237,20280670.00000000,3343508.49603000,0
2025-03-12 03:00:00,0.16342,0.16413,0.16094,0.16117,36861952.0,2025-03-12 03:59:59.999,5984351.23564000,40658,17187418.00000000,2792421.94089000,0
2025-03-12 04:00:00,0.16116,0.16179,0.15954,0.1606,55902071.0,2025-03-12 04:59:59.999,8972159.08326000,43022,27139059.00000000,4355549.44449000,0
2025-03-12 05:00:00,0.16061,0.16288,0.16026,0.16254,30743499.0,2025-03-12 05:59:59.999,4963924.51277000,28321,17591409.00000000,2842062.14690000,0
2025-03-12 06:00:00,0.16253,0.16285,0.16056,0.16205,35253948.0,2025-03-12 06:59:59.999,5700555.11383000,33843,14527171.00000000,2350596.99551000,0
2025-03-12 07:00:00,0.16206,0.166,0.162,0.16545,60139956.0,2025-03-12 07:59:59.999,9870407.18599000,60204,28432022.00000000,4666651.97478000,0
2025-03-12 08:00:00,0.16546,0.16888,0.16491,0.16785,90718391.0,2025-03-12 08:59:59.999,15139424.83272000,90077,44734953.00000000,7471956.78279000,0
2025-03-12 09:00:00,0.16785,0.16944,0.16523,0.1671,81446765.0,2025-03-12 09:59:59.999,13599887.62147000,74322,39374280.00000000,6571436.14324000,0
2025-03-12 10:00:00,0.1671,0.16736,0.16527,0.16665,32900201.0,2025-03-12 10:59:59.999,5473223.81948000,34905,16400631.00000000,2728785.93421000,0
2025-03-12 11:00:00,0.16666,0.16879,0.16666,0.16857,40131136.0,2025-03-12 11:59:59.999,6736288.79511000,33009,19370671.00000000,3251133.31347000,0
2025-03-12 12:00:00,0.16857,0.17418,0.16775,0.17205,167877967.0,2025-03-12 12:59:59.999,28796655.31942000,152325,84336392.00000000,14462765.50228000,0
2025-03-12 13:00:00,0.17206,0.17287,0.16611,0.16703,87086771.0,2025-03-12 13:59:59.999,14760236.28210000,140341,41092202.00000000,6969717.98055000,0
2025-03-12 14:00:00,0.16703,0.16736,0.16431,0.16451,80273790.0,2025-03-12 14:59:59.999,13301195.32679000,127398,39595774.00000000,6559748.14367000,0
2025-03-12 15:00:00,0.16451,0.16569,0.16132,0.16523,117140287.0,2025-03-12 15:59:59.999,19185361.76517000,108616,56670207.00000000,9285312.93241000,0
2025-03-12 16:00:00,0.16522,0.16821,0.16476,0.16606,57587289.0,2025-03-12 16:59:59.999,9597020.12886000,85180,31397654.00000000,5235305.25448000,0
